COUNTRY,DEPARTMENT,SALESFORCE_CODE,HCP_ID,REP_ID,PRODUCT,INDICATION,TERRITORY_ID,LOAD_DT,EPH_REFERENCE_ID,EPH_ENTERPRISE_ID,ENHANCED_ENTERPRISE_ID
JP,RETAIL,JPCL,ENTID_13606669,00580000004owNQAAY,JP_708127-420004,,JP69906,2025-11-03,ENTID_13606669,ENTID_131626489,
JP,RETAIL,JPHY,ENTID_12595775,00580000004M3UPAA0,JP_708127-420004,,JP65787,2025-11-03,ENTID_12595775,ENTID_130322101,ENTID_130322101
JP,RETAIL,JPCL,ENTID_12763665,00580000004owNQAAY,JP_708127-420004,,JP69906,2025-11-03,ENTID_12763665,ENTID_130489831,ENTID_130489831
JP,RETAIL,JPHZ,ENTID_12761516,00580000004M3RPAA0,JP_708127-420004,,JP91046,2025-11-03,ENTID_12761516,ENTID_130487896,ENTID_130487896
JP,RETAIL,JPHY,ENTID_13495669,00580000004M359AAC,JP_708127-420004,,JP65756,2025-11-03,ENTID_13495669,ENTID_131479781,
JP,RETAIL,JPCL,ENTID_12475312,00580000004MHFrAAO,JP_708127-420004,,JP69955,2025-11-03,ENTID_12475312,ENTID_130203148,ENTID_130203148
JP,RETAIL,JPCL,ENTID_12531166,00580000004MHFrAAO,JP_708127-420004,,JP69955,2025-11-03,ENTID_12531166,ENTID_130257692,ENTID_130257692
JP,RETAIL,JPHY,ENTID_12701118,00580000004M38kAAC,JP_708127-420004,,JP65769,2025-11-03,ENTID_12701118,ENTID_130427878,ENTID_130427878
JP,RETAIL,JPCL,ENTID_45016974,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_45016974,ENTID_130552312,ENTID_130552312
JP,RETAIL,JPHY,ENTID_12675848,00580000004M3F2AAK,JP_708127-420004,,JP65866,2025-11-03,ENTID_12675848,ENTID_130402101,ENTID_130402101
JP,RETAIL,JPCL,ENTID_12689216,00580000004M39bAAC,JP_708127-420004,,JP69956,2025-11-03,ENTID_12689216,ENTID_130415302,ENTID_130415302
JP,RETAIL,JPCL,ENTID_12574000,00580000004owNQAAY,JP_708127-420004,,JP69906,2025-11-03,ENTID_12574000,ENTID_130300348,ENTID_130300348
JP,RETAIL,JPHY,ENTID_12741779,00580000004M3IsAAK,JP_708127-420004,,JP65871,2025-11-03,ENTID_12741779,ENTID_130469199,ENTID_130469199
JP,RETAIL,JPCL,ENTID_13569833,00580000004MHFrAAO,JP_708127-420004,,JP69955,2025-11-03,ENTID_13569833,ENTID_131579693,
