hco_cd,apims_id,YRMO,Sales,month_no
ENTID_13624191,708127,2025-10,0.00000,m1
ENTID_13837123,708127,2025-10,507820.00000,m1
ENTID_13672481,708127,2025-10,914076.00000,m1
ENTID_75304359,708127,2025-10,0.00000,m1
ENTID_13866842,708127,2025-10,0.00000,m1
ENTID_99140883,708127,2025-10,558602.00000,m1
ENTID_13707957,708127,2025-10,304692.00000,m1
ENTID_14146906,708127,2025-10,50782.00000,m1
ENTID_13894641,708127,2025-10,304692.00000,m1
ENTID_13822607,708127,2025-10,253910.00000,m1
ENTID_13820747,708127,2025-10,457038.00000,m1
ENTID_14014532,708127,2025-10,0.00000,m1
ENTID_13849161,708127,2025-10,101564.00000,m1
ENTID_14077721,708127,2025-10,203128.00000,m1
ENTID_13587483,708127,2025-10,457038.00000,m1
ENTID_112040716,708127,2025-10,558602.00000,m1
